token,pos,count
경제,NNG,13
물가,NNG,6
지속,NNG,6
자료,NNG,5
금리,NNG,4
성장,NNG,4
세계,NNG,4
전기비,NNG,4
유지,NNG,4
수준,NNG,4
한국은행,NNG,4
통화정책,NNG,4
전년,NNG,4
금융시장,NNG,4
상승률,NNG,4
GDP,NNG,4
국내,NNG,3
방향,NNG,3
기준,NNG,3
대비,NNG,3
기준금리,NNG,3
수출,NNG,3
위험,NNG,3
소비자,NNG,3
유로지역,NNG,3
제외,NNG,3
정책,NNG,3
하락,NNG,3
전세가격,NNG,3
투자,NNG,3
가운데,NNG,2
경기,NNG,2
건설,NNG,2
기대심리,NNG,2
부문,NNG,2
민간,NNG,2
미국,NNG,2
동기,NNG,2
둔화,NNG,2
따른,VV,2
매매,NNG,2
배경,NNG,2
행정,NNG,2
해외,NNG,2
생산,NNG,2
월비,NNG,2
위험요인,NNG,2
인플레이션,NNG,2
커지,VV,2
지표,NNG,2
추세,NNG,2
주가,NNG,2
하방,NNG,2
부진,NNG,2
상황,NNG,2
성장세,NNG,2
설비,NNG,2
불안,NNG,2
소비,NNG,2
성장률,NNG,2
운용,NNG,2
예상,NNG,2
실물,NNG,2
안정,NNG,2
신흥시장국,NNG,2
Tel,SL,2
bok,SL,2
IMF,SL,2
Bloomberg,SL,2
or,SL,2
가격,NNG,2
kr,SL,2
공공,NNG,2
환율,NNG,2
기말,NNG,2
국제,NNG,2
금융통화위원회,NNG,2
가능성,NNG,1
www,SL,1
leeshng,SL,1
mail,SL,1
CD,NNG,1
CDS,NNG,1
Economic,SL,1
Fax,SL,1
보일,VV,1
보였으며,VV,1
보도자료,NNG,1
변화,NNG,1
바랍니다,VV,1
모두,MAG,1
면밀,NNG,1
미약,NNG,1
멈추,VV,1
목표,NNG,1
농산물,NNG,1
노력,NNG,1
낮추,VV,1
대체로,MAG,1
동월,NNG,1
리스크,NNG,1
기자간담회,NNG,1
달러,NNG,1
다음,NNG,1
고용,NNG,1
계속,MAG,1
견실,NNG,1
결정,NNG,1
국가,NNG,1
근원,NNG,1
국방,NNG,1
국민은행,NNP,1
국고채,NNG,1
관련,NNG,1
금융경제,NNG,1
기간,NNG,1
기성액,NNG,1
강화,NNG,1
개선,NNG,1
개인서비스,NNP,1
결정시,NNG,1
공보,NNG,1
공공요금,NNG,1
공보실,NNP,1
Outlook,SL,1
bp,SL,1
World,SL,1
KOSPI,NNG,1
http,SL,1
아파트,NNG,1
사회보장,NNG,1
비연,NNG,1
아일랜드,NNG,1
스페인,NNG,1
수치,NNG,1
수도권,NNG,1
수록,NNG,1
소폭,MAG,1
설비투자지수,NNG,1
성향,NNG,1
소매,NNG,1
상승,NNG,1
선진국,NNG,1
서비스업,NNG,1
상승세,NNG,1
붙임,NNG,1
석유,NNG,1
분기,NNG,1
불안요인,NNG,1
일부,NNG,1
일본,NNG,1
인플레이션율,NNG,1
인터넷,NNG,1
이탈리아,NNG,1
인상,NNG,1
이상,NNG,1
유럽,NNG,1
원달러환율,NNG,1
월평균,NNG,1
압력,NNG,1
약세,NNG,1
에너지,NNG,1
약화,NNG,1
오름세,NNG,1
완만,NNG,1
시계,NNG,1
식료품,NNG,1
시장,NNG,1
주춤,MAG,1
점검,NNG,1
제조업,NNG,1
주요국,NNG,1
장기,NNG,1
장기추세,NNG,1
전기,NNG,1
잠재,NNG,1
전년동기비,NNG,1
전환,NNG,1
전월,NNG,1
점차,MAG,1
일평균,NNG,1
증감,NNG,1
증가세,NNG,1
증가,NNG,1
중심선,NNG,1
중심,NNG,1
중반,NNG,1
중기,NNG,1
중국,NNG,1
주택시장,NNG,1
주택매매가격,NNG,1
주택가격,NNG,1
주택,NNG,1
총괄팀,NNP,1
지수,NNG,1
지방,NNG,1
증대,NNG,1
통화정책국,NNP,1
통관,NNG,1
취업자수,NNG,1
취업자수증감,NNG,1
취급,NNG,1
차장,NNP,1
참조,NNG,1
판단,NNG,1
포시,NNG,1
프리미엄,NNG,1
판매,NNG,1
포르투갈,NNG,1
향후,MAG,1
활동,NNG,1
회복세,NNG,1
회피,NNG,1
